"Ind","PlantHeight"
"Z020E001",131
"Z020E002",123
"Z020E003",154.5
"Z020E004",143.5
"Z020E005",126.25
"Z020E006",118.5
"Z020E007",147
"Z020E008",140.75
"Z020E009",153.8888889
"Z020E010",152.5
"Z020E011",135
"Z020E012",138.5
"Z020E013",118.5
"Z020E014",111.5
"Z020E015",167.5
"Z020E016",161.25
"Z020E017",134.4444444
"Z020E018",138
"Z020E019",122
"Z020E020",167.5
"Z020E021",121.5
"Z020E022",148
"Z020E023",109.375
"Z020E024",132
"Z020E025",110.75
"Z020E026",133.8888889
"Z020E027",159
"Z020E028",122.5
"Z020E029",134
"Z020E030",129
"Z020E031",152.35
"Z020E032",137.5
"Z020E033",138.3333333
"Z020E034",129
"Z020E035",147.2222222
"Z020E036",142.5
"Z020E037",131
"Z020E038",113.8888889
"Z020E039",109
"Z020E040",126
"Z020E041",144.5
"Z020E042",131
"Z020E043",146.5
"Z020E044",116.1111111
"Z020E045",129
"Z020E046",107.2222222
"Z020E047",133
"Z020E048",150.5
"Z020E049",133
"Z020E050",157.2222222
"Z020E051",122.5
"Z020E052",122.5
"Z020E053",115
"Z020E054",124.5
"Z020E055",131
"Z020E056",154.5
"Z020E057",115.5
"Z020E058",122
"Z020E059",135.3333333
"Z020E060",144.5
"Z020E061",139.5
"Z020E062",143.75
"Z020E063",140.625
"Z020E064",160
"Z020E065",140
"Z020E066",129.5
"Z020E067",139
"Z020E068",102.5
"Z020E069",161
"Z020E070",142.5
"Z020E071",141.5
"Z020E072",135
"Z020E073",135.5555556
"Z020E074",134.5
"Z020E075",133
"Z020E076",160.5
"Z020E077",113.5
"Z020E078",135
"Z020E079",149
"Z020E080",122.5
"Z020E081",139.5
"Z020E082",122.5
"Z020E083",144
"Z020E084",144
"Z020E085",156.5
"Z020E086",115.5555556
"Z020E087",118.3333333
"Z020E088",134
"Z020E089",117
"Z020E090",125
"Z020E091",119
"Z020E092",135.5
"Z020E093",155.5
"Z020E094",139.5
"Z020E095",143.5
"Z020E096",132.5
"Z020E097",131.5
"Z020E098",138.3333333
"Z020E099",152.5
"Z020E100",130.5
"Z020E101",154.4444444
"Z020E102",153.8888889
"Z020E103",156.5
"Z020E104",118
"Z020E105",146.3888889
"Z020E106",160.5555556
"Z020E107",138.8888889
"Z020E108",157.2222222
"Z020E109",133
"Z020E110",137.5
"Z020E111",143.3333333
"Z020E112",135.5
"Z020E113",155
"Z020E114",146.5
"Z020E115",142
"Z020E116",134.5
"Z020E117",139.5
"Z020E118",123.3333333
"Z020E119",128.5
"Z020E120",106
"Z020E121",133
"Z020E122",120
"Z020E123",109
"Z020E124",135
"Z020E125",132.2222222
"Z020E126",120.5
"Z020E127",126
"Z020E128",166.1111111
"Z020E129",138.75
"Z020E130",135.5
"Z020E131",142.5
"Z020E132",111.1111111
"Z020E133",158.5
"Z020E134",112.5
"Z020E135",157.5
"Z020E136",170.5
"Z020E137",103.8888889
"Z020E138",101.5
"Z020E139",121.5
"Z020E140",122
"Z020E141",167.5
"Z020E142",169.5
"Z020E143",128.25
"Z020E144",124
"Z020E145",150.5
"Z020E146",121.6666667
"Z020E147",154.4444444
"Z020E148",127.5
"Z020E149",106
"Z020E150",149.5
"Z020E151",137
"Z020E152",161.25
"Z020E153",129.5
"Z020E154",111.6666667
"Z020E155",133.5
"Z020E156",115
"Z020E157",132.2222222
"Z020E158",115
"Z020E159",132
"Z020E160",148.75
"Z020E161",131.1111111
"Z020E162",141
"Z020E163",145
"Z020E164",177.5
"Z020E165",123.5
"Z020E166",110
"Z020E167",132.2222222
"Z020E168",158
"Z020E169",141.5
"Z020E170",130
"Z020E171",136
"Z020E172",148
"Z020E173",135.75
"Z020E174",151.9444444
"Z020E175",150.9259259
"Z020E176",115.5
"Z020E177",157.5
"Z020E178",125
"Z020E179",139.5
"Z020E180",146.5
"Z020E181",158.5
"Z020E182",163
"Z020E183",135
"Z020E184",118.8888889
"Z020E185",174.5
"Z020E186",143.8888889
"Z020E187",135
"Z020E188",126.25
